assess,を評価する；を査定する
approve,賛成する；を承認する
remark,と述べる；(～について)意見を述べる(on / upon)
pose,(危険)を引き起こす；(問題など)を提起する；ポーズをとる；(～を)装う(as)
yield,をもたらす；を(～に)譲る(to)；(～に)屈する(to)
exhibit,を示す，見せる；を展示する
distribute,を(～に)分配する(to)；〔受身形で〕分布する
command,を命じる；を指揮する；(景色)を見渡せる
occupy,(空間・時間)を占める；を占領する
pop,ひょいと動く；不意に現れる；ポンとはじける
pile,を積み重ねる；積み重なる
greet,に挨拶する；を迎える
apologize,(～に；～のことで)謝る(to；for)；弁明する
frustrate,をいら立たせる；(計画・希望など)を挫折させる
relieve,を和らげる；〔受身形で〕(…して)安心する(to do)；を解放する
derive,由来する；を引き出す；を推論する
deserve,に値する
peer,(～を)じっと見る(at / into)
defeat,を負かす；を失敗させる
convert,を変える；を改宗［転向］させる；を交換する
wed,と結婚する；を(～と)結婚させる(to)
delight,を喜ばせる；(～を)大いに喜ぶ(in)
boost,を押し上げる；を増加させる
endure,に耐える；(に)持ちこたえる
correspond,一致する；(～に)相当する(to)；文通する
impose,を課す；を押しつける
rescue,を救う
resolve,を解決する；を決意する；を議決する
register,を記録する，登録する；(～に)登録する(for)
interrupt,を中断させる；(の)邪魔をする
rid,から(～を)取り除く，除去する(of)
prohibit,を禁止する
compose,を構成する；を創作する；を鎮静する
misunderstand,(を)誤解する
punish,を罰する；に損傷を与える
ruin,をだめにする；を破滅させる；破滅する
defend,を防御する；を弁護する
embrace,を受け入れる；(を)抱擁する；を包含する
modify,を修正する；を緩和する
qualify,(人)に資格を与える；資格がある
passion,情熱；熱中；激怒
enthusiasm,(～への)熱情，熱意(for)
phase,段階，局面；側面
mode,方式；気分；形態；流行
span,期間；範囲
gravity,重力，引力；重量；重大さ
orbit,軌道；(活動・勢力などの)範囲
asteroid,小惑星；ヒトデ
core,核心；芯
soul,精神；魂，霊魂；生気
nerve,神経；〔～s〕神経過敏；(…する)度胸(to do)
infection,感染(症)
mall,【主に米】 モール，ショッピングセンター
grocery,〔～s〕食料雑貨；食料雑貨店
humor,ユーモア；気分，機嫌；気質
instinct,本能；勘，直感；(自然に起こる)衝動
faith,(～への)信頼(in)；信仰(心)
courage,勇気
incentive,動機(づけ)；報奨金
prospect,見込み；〔～s〕(未来への)展望；有望な人
obstacle,(～に対する)障害(物)(to)
architecture,建築；建築様式；構造
stem,(草木の)茎，幹
illusion,錯覚，思い違い；幻想
discrimination,(～に対する)差別(against)；区別
shame,恥；残念なこと
drought,干ばつ；(慢性的な)不足
flavor,風味；特色
portion,部分；1人前；割り当て
recipe,調理法，レシピ；手順；秘訣
luxury,ぜいたく(品)；〔形容詞的に〕豪華な
chip,小片，破片；欠けた箇所；集積回路
ritual,儀式；(日常の)習慣的行為
sake,〔for the ～ ofで〕のために，の目的で；に免じて
prefecture,(日本の)県，府；(フランスなどの)県
council,(地方)議会；評議会；(公の)会議
administration,管理(部)；行政；政府(機関)
curriculum,教育課程，カリキュラム
precious,貴重な；高価な
generous,寛大な；気前のよい；豊富な
casual,何気ない；形式ばらない
optimistic,楽観的な
rough,粗い；大まかな；乱暴な
unpleasant,不愉快な；不親切な，無礼な
Arctic,北極の
ultimate,究極の
deaf,耳が聞こえない
genuine,本物の；偽りのない
manual,体［手］を使う；手の；手動式の
mechanical,機械の；機械的な
instant,即時の，すぐの；即席の
spare,余分の，予備の
immune,(～に対して)免疫を持つ(to)；(～を)免れた(from)
harsh,厳しい；(光・色・味などが)不快な
collective,集団の，共同の
inevitable,避けられない
profound,重大な；深い；難解な
steady,着実な，一定の；安定した
mature,成熟した；熟した
likewise,同様に
