work on(2語),～に取り組む
range,範囲、及ぶ
gather,集める、集まる
utilize,を利用する
additional,追加の
essential,基本的な・不可欠の
breakthrough,大発見・躍進
vaccine,ワクチン
antibiotics,抗生物質
surgical,外科の・外科医の
trait,特色
treatment,取り扱い・治療
outdate,古臭くする・時代遅れなものにする
organ,器官・機関・オルガン
tissue,組織・ティッシュ
simulation,模擬実験・シミュレーション
effective,効果的な
efficient,有能な・能率的な
alternative,二者択一の・代わりの・代替物
available,利用できる・手に入る
justify,正当化する
exception,例外・除外
hardly,ほとんど～でない
promise,約束・見込み・約束する
exist,存在する
purpose,目的・目標
aim,ねらう・目的
cure,治療する(～Ａ of B)
product,産物・生産物・製品
criteria,基準（複数形）
relate,を関連づける・述べる
subject,主題・話題・受けやすい・服従させる・被験者
cognitive,認知の
perspective,観点・展望・遠近法
benefit,恩恵・利益・利益を得る
enormous,べらぼうに大きい
firmly,しっかりと
argument,議論・論拠
infant,幼児・幼児の
disability,身体障害・無能（力）
ethical,倫理の・道理にかなった
instructive,教育的な・ためになる
evaluate,評価する・見積もる
circumstance,事情・環境
seek,を探し求める・～しようと努める
significantly,かなり・総統に・重要なことには
conservation,（資源）保護
approve,賛成する・承認する・気に入る
resemblance,類似（点）
abolish,廃止する
contribute,貢献する・寄付する
promote,促進する・昇進させる
well-being,幸福・健康
privilege,特権・特典
creature,生き物
application,応用・申し込み
evidence,証拠・証言
consideration,考慮・おもいやり
aspect,側面・様子・顔つき
appropriate,適当な・適切な
concern,不安・思いやり・心配する・関係する・事柄・関心
indispensable,不可欠の
principle,原理・主義
foundation,土台・基礎・設立・財団
current,普及している・現在の・流れ・電流
recognize,気が付く・認める・認識する
adopt,採用する・養子にする
substitute,代理・代理人・とってかわる
minimize,最小限にする
refine,精製する・洗練されたものにする
livestock,家畜類
welfare,幸福・福祉
explore,探検する
conduct,案内する・指揮する・行う・行動
measure,寸法・ものさし・手段・程度・測る
issue,問題・発行・号・発行する
statement,生命・主張・明細書
empathize,感情移入をする
aid,助け・補助器具
reliable,信頼のできる
proper,適当な・固有の・本来の
care,気に掛ける・世話をする・世話・心配事
pratical,実際的な・実践的な
expand,拡大する・ふくらます
accelerate,加速する・促進する
oppose,反対する
based on(2語),～に基づいた
option,選択・選択権
convince,納得させる・確信させる
promotion,昇進・促進
empathy,感情移入・共感
combine,結合する・連合する
proportionally,比例して・つりあって
opposition,反対する
lack,不足・欠如・かけている
admit,認める・入学（入場）を認める
further,そのうえ・なお一層・さらに遠くに
advancement,進歩
