be willing to,喜んで～する（３）
be reluctant to,～することに気が進まない（３）
be apt to,～しがちである（３）
feel free to,気楽に～する（３）
be likely to,～しそうである・～らしい（３）
be about to,しようとしている（３）
be forced to,～せざるを得ない（３）
 be anxious to,しきりに～したがっている（３）
be well off,暮らし向きがよい、裕福である（３）
by and large,概して、大体のところ（３）
on and off,ときどき（３・o）
now and then,ときどき（３・n）
once in a while,ときどき（４・o）
from time to time,ときどき（４・ｆ）
on occasion,時折・時々（２）
so far,今までのところ・これまでは（２・ｓ）
as yet,今まででのところ（２・a）
once and for all,きっぱりと（４）
next to,ほとんど（２）
be second to none,誰にも劣らない（４）
let alone,～は言うまでもなく（２）
on the contrary,それどころか・これに反して（３）
in person,自分で・本人が（２）
at a loss,困って・途方に暮れて（３）
in the way,じゃまになって（３）
on the way,途中で（３）
by the way,ところで（３）
out of the question,論外で・問題にならない（４）
in general,一般に・一般の（２）
in particular,特に（２）
as a rule,概して・大体のところ（３）
on the whole,概して・大体・全体として（３）
at large,捕まらないで・自由に・一般の・詳しく（２）
for good,永久に（２）
for nothing,無料で・無駄で（２）
in vain,むなしく・無駄に（２）
at work,仕事中で（２）
under way,進行中で（２）
on purpose,故意に（２）
on the go,忙しく働いて・活動して（３）
in turn,順番に・交代で・今度は（２）
in advance,あらかじめ（２）
out of order,故障して（３）
in order,順調で・きちんとして（２）
out of date,時代遅れで（３）
up to date,最新の（３）
for the time being,当分の間・さしあたり（４）
on end,続けて（２）
in case,万一の場合に備えて（２）
in the long run,結局は・長い目で見れば（４）
after all,結局は（２）
as a matter of fact,実際のところ（５）
beyond description,言葉で表現できないほど（２）
behind the times,時代遅れで・時勢に遅れて（３）
in any case,いずれにしても・とにかく（３・i）
at any rate,とにかく・いずれにせよ（３・a）
on the spot,即座に・直ちに（３）
in a hurry,急いで（３）
in haste,急いで・慌てて（２）
in detail,詳細に（２）
in other words,言い換えれば（３）
on duty,勤務時間中で・登板で（２)
at first,最初は・はじめは（２）
first of all,まず第一に（３）
for the first time,初めて（４）
for the first time in,(~...yearsで）...年ぶりに（５）
on one's own,独りで・独力で（３）
to the point,要領を得て（３）
beside the point,要点を外れて・要領を得ない（３）
in time,やがて・間に合って（２）
 on time,時間通りに（punctually・２）
by nature,生まれつき・生来（２）
by degrees,徐々に・次第に（２）
in short,要するに・手短に言えば（２）
without fail,必ず・きっと（２）
to some extent,ある程度（３）
from a ~ point of view,～の見地から（~つきで６）
in a sense,ある意味では（３）
in public,公然と・人前で（２）
at first hand,直接に・じかに（３）
at A's disposal,Aの自由になるように（３）
all at once,突然に（３）
all of a sudden,突然に（４）
on one's face,うつ伏せになって・腹ばいになって（３）
on a diet,ダイエット中で（３）
as for,～に関して（for・２）
as to,～に関して・～について（to・２）
regarding,～に関して（r・１）
concerning,～に関して（c・１）
as regards,～に関して（a・２）
with regard to,～に関して（ｗから・regard・３）
with respect to,～に関して（ｗから・respect・３）
in respect of,～に関して（iから・respect・３）
in regard to,に関して（iから・regard・３）
for the purpose of doing,～する目的で・～するために（f・５）
with a view to doing,～する目的で・～するつもりで（w・５）
for the sake of,～のために（目的・利益）（４）
because of,（原因・理由）～のため（b・２）
owing to,（原因・理由）～のため（o・２）
due to,（原因・理由）～のため（d・２）
